sentence,sentiment,predicted_sentiment
The conservative Radical Democrats ( FDP ) have said they would ask parliament next week to order Swiss banks to put some 40 million Swiss francs ( $ 31 million ) in dormant wealth into a fund earmarked for Jewish groups and charitable organisations .,neutral,0
"But Swiss banks and the country s""    voiced doubts whether the plan would work .",neutral,1
INTERVIEW-ZYWIEC SEES NO BIG 97 NET RISE .,neutral,0
Steven Silber,neutral,2
WARSAW 1996-12-06,neutral,1
"Polish brewer Zywiec s""          into next year due in part to hefty depreciation charges , but recent high investment should help the firm defend its 10-percent market share , the firm chief executive said .",neutral,0
"Company President Jean van Boxmeer told Reuters in an interview on Friday that the firm , whose net profit fell 77 percent in the first 10 months of 1996 despite a 30-percent rise in sales , might only post slightly better profits in 1997 before having a chance to make a more significant turnaround .",neutral,1
"So far this year Zywiec , whose full name is Zaklady Piwowarskie w Zywcu SA , has netted six million zlotys on sales of 224 million zlotys .",neutral,1
It has produced 1.5 million hectolitres .,neutral,1
Van Boxmeer would not say how much higher 1997 profits or market share could be but said sales of leading Polish brewers should rise as the country young urban professionals gradually switch from vodka to beer .,neutral,1
""" The perspective on growth is such that reasonably we can think that somewhere between 65 and 80 litres per year is certainly reachable , "" van Boxmeer said on Polish per-capita beer consumption , currently around 40 litres .",neutral,1
"He said the 65-80-litre level could be reached in the next ten years and make Poland , with its 40-million population , Europe s""          Germany and Britain .",neutral,1
"Van Boxmeer said Poland s""          produce about 55 percent of the country s""    could all raise market share as some of the numerous small brewers fall to competition from the large brewers with foreign investors .",neutral,2
Zywiec is 31.8-percent owned by Heineken while Carlsberg has the same amount in Okocim .,neutral,1
"Earlier this year South African Breweries Ltd ( SAB ) bought strategic stakes in the unlisted Lech and Tychy brewers , which together hold more than 20 percent of the market , and Australia s""        controlling stake in Poland s""        Elbrewery Company Ltd. ( EB ) .",neutral,1
"Van Boxmeer said the tough competition had prevented Zywiec from raising prices in line with inflation , which had added to the pressure on the firm margins .",neutral,0
He said advertising costs would also increase in the fight for market share .,neutral,0
"But he said the company s""        $ 100 million already this decade , largely in production , would help position it to compete with such competitors as brewers from the neighbouring Czech Republic .",neutral,0
"Some analysts say cheaper but high-quality Czech imports could invade Poland once tariffs for CEFTA countries are lifted in 1998 , but van Boxmeer says such a threat might be exaggerated despite the Czech beer market s""   ",neutral,1
""" I think Polish consumers in general are quite proud of their beers -- and I m""        brands -- and as we make good beers ...",positive,1
"I think that this fidelity to our beers is a factor which can limit the Czech beers , "" he said .",neutral,1
"Van Boxmeer said Zywiec had its eye on Okocim , which has said it would start producing Carlsberg beer next year , but that Zywiec s""    of Heineken was a medium-term possibility rather than a short-term one .",neutral,0
"He said his firm would be better off concentrating on its leading brand , Zywiec Full Light , which accounts for 85 percent of sales and is the country s""     ",neutral,2
""" You will not win the war of the Polish beer market with imported international brands , "" van Boxmeer said , adding that Heineken would remain an up-market import in Poland .",neutral,0
"Van Boxmeer also said Zywiec would be boosted by its recent shedding of soft drinks which only accounted for about three percent of the firm s""      for which 7.6 million zlotys in provisions had already been made .",neutral,0
-- Warsaw Newsroom +48 22 653 9700,neutral,0
HAVEL HAS TRAECHEOTOMY AFTER CONDITIONS WORSENS .,neutral,0
PRAGUE 1996-12-06,neutral,2
"Doctors performed an emergency tracheotomy to help Czech President Vaclav Havel breathe after cancer surgery on his lungs earlier this week , a spokesman said on Friday .",neutral,2
"He said that the procedure to insert a device into Havel s""              on Thursday , had helped , and the president condition significantly improved .",neutral,0
""" A worsening in the president s""      place yesterday , "" presidential spokesman Ladlislav Spacek said in a statement .",neutral,2
""" A tracheotomy was performed and supportive breathing was installed through the help of a breathing device , "" he said . """,neutral,0
"After these steps , the president s""  signigicantly improved . """,neutral,1
Havel has been recovering from surgery on Monday which removed a small malignant tumour and half of his right lung .,neutral,2
"Doctors after the operation said that they had caught the cancer early , and that Havel could fully recover from the surgery within six weeks .",neutral,0
"His spokesman said on Thursday that Havel , 60 and a heavy smoker , had also developed a slight case of pneumonia in the left lung .",neutral,2
"UK-US open skies talks end , no date to restart .",neutral,0
LONDON 1996-12-06,neutral,2
"The UK Department of Transport on Friday said that the latest round of "" open skies "" talks with the U.S. had ended with no deal on liberalising the transatlantic flight market and no date set for when talks would restart .",neutral,0
"A spokesman for the DOT told Reuters "" We have had talks towards concluding a new air service agreement which would produce liberalisation ...",neutral,1
"useful progress was made on a number of issues , but not all .",neutral,0
"No date has been set for further talks . """,neutral,1
Tambang Timah at $ 15.575 in London .,neutral,1
LONDON 1996-12-07,neutral,1
PT Tambang Timah closed at $ 15.575 per GDR in London on Friday .,neutral,1
"It recorded the day s""            day s""         ",neutral,1
It closed at $ 15.80 on Thursday .,neutral,1
One Global Depository Receipt represents 10 common shares .,neutral,1
-- Jakarta newsroom +6221 384-6364,neutral,1
Telkom at $ 35 in London .,neutral,1
LONDON 1996-12-07,neutral,1
PT Telekomunikasi Indonesia ( Telkom ) closed at $ 35 in London on Friday .,neutral,2
"It recorded the day s""            day s""         ",neutral,1
Its previous close on Thursday as $ 35.63 .,neutral,2
One ADS represents 20 ordinary shares -- Jakarta newsroom +6221 384-6364 .,neutral,1
Woman charged over N. Ireland arms find .,neutral,2
BELFAST 1996-12-06,neutral,1
"A woman was charged on Friday with terrorist offences after three Irish Republican Army mortar bombs were found in a Belfast house , police said .",neutral,2
Police said the bombs were found hidden with incendiaries and ammunition that were blocked up behind a kitchen wall .,neutral,2
"The 35-year-old woman was charged with possession of explosives with intent to endanger life and making a house available for the purpose of terrorism , police said .",neutral,2
She will appear in court on Saturday .,neutral,0
Her name was not released .,neutral,2
Security forces said the bombs may have been intended for use in a pre-Christmas bombing campaign by the guerrilla group that is battling to oust Britain from Northern Ireland .,neutral,0
Britain sets conditions to clear American alliance .,neutral,2
Edna Fernandes,neutral,2
LONDON 1996-12-06,neutral,1
The British government warned Friday that it would refer the proposed trans-Atlantic alliance between British Airways Plc and American Airlines to Britain Monopolies and Mergers Commission unless the carriers complied with a number of conditions .,neutral,0
"Trade and Industry Secretary Ian Lang added that even if the conditions were met by both airlines , final clearance would hinge on an open skies deal between Britain and the United States to liberalise trans-Atlantic air traffic , which would create greater competition on the routes .",neutral,0
"Lang said he supported conditions proposed by Britain s""                  examine the case last month .",neutral,1
""" I agree ... that without suitable undertakings the alliance would be likely to lead to a significant loss of actual and potential passengers , on those routes where BA and AA currently compete and for all passengers on the trans-Atlantic market route between the UK and U.S. , "" he said .",negative,1
His comments came just minutes after the latest set of open skies talks ended in London with no deal signed .,neutral,1
Industry sources said there was no new date for fresh talks and blamed the deadlock on uncertainty over whether the British Airways-American deal would be cleared .,neutral,0
"The conditions for clearance of the alliance were that British Airways and American drop 168 slots at London Heathrow airport , the busiest in Europe .",neutral,1
"American s""                  view the terms as a "" deal breaker . """,negative,1
"However , it called the conditions "" more severe "" than those imposed by other regulatory authorities on similar airline alliances .",neutral,1
"British Airways s""          unconditional divestiture of slots is unprecedented and if done it must be on the basis of fair market value . """,negative,1
"It added that it would be "" prepared to take reasonable steps to assist the introduction of additional competition . """,neutral,1
"The government also wants British Airways to drop a clause in its agreement with USAir that bars it from competing on trans-Atlantic routes , and said both British Airways and American should be prepared to reduce services on the London to Dallas-Fort Worth route in the event that a new entrant wishes to enter .",neutral,1
It also suggested losing some slots on the London-to-Boston route .,neutral,1
The Office of Fair Trade called for British Airways / American to allow third-party access to their joint frequent flyer programme where the applicant does not have access to an equivalent programme .,neutral,1
"Lang said responses should be made to the Office of Fair Trading by Jan. 10 , 1997 .",neutral,0
Med oil products mostly lower as Elf strike ends .,neutral,2
LONDON 1996-12-06,neutral,1
Mediterranean oil products were steady to mostly lower on Friday after Elf refinery workers voted to end their nine-day strike .,neutral,0
"Gas oil erased Thursday s""          a tonne in line with the screen .",neutral,1
"Volume was very thin and market remained long , with premiums down $ 1 at about high cif quotes +$0.50 basis Genoa . """,neutral,0
"The sharp moves on the screen make everyone nervous , "" a trader said .",negative,1
"Trades were discussed in 0.2 , 0.5 and one percent heating oil into Syria and Lebanon and there were fresh inquiries from France and Spain for low sulphur diesel .",neutral,0
Interest remains focussed on a tender by India for a second purchase of high speed diesel for January delivery .,neutral,2
"Fuel oil lost ground sharply with weaker crude , but also suffered from some pricing pressure .",neutral,0
High sulphur cracked fuel lost about $ 3 to $ 109-111 fob Med with several cargoes threatening to overhang the market .,neutral,0
"The chance of material heading north , talked earlier this week , may be in jeopardy now since American fuel oil is expected to head transatlantic following outages at two coking units in the U.S .",neutral,1
"Up to 165,000 tonnes of fuel will have to find a new home and with the arbitrage from the U.S. to Europe open Rotterdam is a prime candidate .",neutral,1
Low sulphur prices were lower with cif Med pegged in the mid to low $ 140s .,neutral,1
"Gasoline prices fell after striking Elf refinery workers voted to go back to work , traders said .",neutral,1
"But an open arbitrage to the U.S. and tight Italian supplies after Elf scooped up Med material over the last week , continued to underpin prices into next week .",neutral,2
New meningitis scare hits Britain .,neutral,1
LONDON 1996-12-06,neutral,0
"A boy has died from meningitis and a girl from the same school has contracted the disease in the second such scare to hit Britain in as many weeks , health authorities said on Friday .",neutral,1
The 16-year-old who attended Sale Grammar School in the northern England city of Manchester died less than a day after becoming ill .,neutral,1
The 15-year-old girl is also suffering from the disease and hospital officials described her condition as serious .,neutral,1
""" At the moment there is no evidence the two cases are linked .",neutral,2
"However , we are assuming they are as a precaution for the time being , "" a spokeswoman said .",neutral,0
"The more than 1,260 students at the school are being given antibiotics as a precaution .",neutral,1
Wales grappled with its own cluster of meningitis cases on a university campus in Cardiff .,neutral,1
At least two people have died and hundreds have been vaccinated in an effort to contain the virus .,neutral,2
"In Scotland , eight people have died and hundreds more are fighting a widespread food-poisoning outbreak .",neutral,2
"A health authority spokeswoman said 78 people suspected of having the disease , including 64 confirmed cases , were still being treated .",neutral,1
Three were listed in poor condition .,negative,0
"More than 290 people have reported symptoms in Lanarkshire county , the worst-hit area , since the outbreak first came to light after people ate tainted meat pies at a pensioners ""   ",neutral,0
"Major s""         ",neutral,0
LONDON 1996-12-06,neutral,1
"British Prime Minister John Major s""      Friday that rebel Conservative MP Sir John Gorst had not "" resigned the whip "" ( quit the parliamentary party ) and the government still had a majority in the 651-seat parliament .",neutral,1
""" He ( Gorst ) isreserving the right not to cooperate , but he has not resigned the whip .",neutral,0
"The government still has a majority , "" a spokesman from Major s""           ",neutral,0
"Gorst s""                himself obliged to vote with the government .",neutral,1
"He said at one point during a press conference : "" I have seen my whip ( party manager ) for next week which , of course , does t""      to me now . """,neutral,2
"Before Gorst s""            majority in the 651-seat House of Commons lower house of parliament .",neutral,2
"In his formal statement , Gorst said : "" I am today withdrawing my cooperation from the government and shall not treat the "" whip ""        to attend the House of Commons or as placing me under any obligation to vote as advised . """,neutral,0
Gorst resigned over a hospital closure in his constituency .,neutral,2
Electronic Data bags flight data contract .,neutral,2
LONDON 1996-12-06,neutral,2
Information technology firm Electronic Data Systems said on Friday it had bagged a contract for the first air traffic control project being funded under the Private Finance Initiative .,neutral,2
"In a statement , EDS said the contract would be in the region of 50 million stg .",neutral,1
"The contract involved upgrading the flight data processing system at the Oceanic Control Centre in Prestwick in south west Scotland for National Air Traffic Services Ltd ( NATS ) , subsidiary of the Civil Aviation Authority .",neutral,1
The system is responsible for the control of aircraft flying transatlantic routes from Europe and North America .,neutral,0
"The system , which would use satellite technology , is scheduled to enter service in 2000 .",neutral,0
-- London Newsroom +44-171-542 7717,neutral,0
RTRS - Cricket - Play restarts in Australia-West Indies match .,neutral,1
MELBOURNE 1996-12-06,neutral,0
Play restarted in the first World Series limited overs match between West Indies and Australia after a rain delay of 50 minutes on Friday .,neutral,0
West Indies resumed their innings on 53 for two with opener Sherwin Campbell on 25 and Shivnarine Chanderpaul 10 .,neutral,1
Rain earlier delayed the start of play by 30 minutes .,neutral,0
-- Sydney Newsroom 61-2 9373-1800,neutral,1
Cricket - Pakistan beat New Zealand by 46 runs .,neutral,1
"SIALKOT , Pakistan 1996-12-06",neutral,1
Pakistan beat New Zealand by 46 runs on Friday to take an unbeatable 2-0 lead in the three-match one-day series .,neutral,1
"Scores : Pakistan 277-9 , New Zealand 231",neutral,1
Manitoba Pork forward contract PM prices - Dec 6 .,neutral,1
WINNIPEG 1996-12-06,neutral,1
Manitoba Pork closing forward contract prices in Canadian dollars per hundred lbs ( Cwt ) for Dec 6 including minimum guaranteed price --,neutral,0
CONTRACT PREVIOUS CLOSE PM CLOSE PM CLOSING RANGE,neutral,2
DATE PM CLOSE FIXED MINIMUM AT 1230 CST,neutral,2
Feb 97 79.94 79.67 75.55 77.01-81.80,neutral,1
Mar 97 76.37 76.12 72.02 73.47-78.24,neutral,1
Apr 97 74.13 74.69 70.59 72.04-76.81,neutral,0
May 97 76.51 77.07 72.97 74.42-79.19,neutral,0
Jun 97 77.53 77.24 73.17 74.62-79.35,neutral,1
Jul 97 74.45 74.01 69.95 71.39-76.12,neutral,1
Aug 97 72.41 72.07 68.01 69.45-74.18,neutral,2
Sep 97 69.18 69.24 65.17 66.61-71.34,neutral,0
Oct 97 68.00 68.05 63.98 65.43-70.16,neutral,0
Nov 97 68.00 68.05 63.98 65.43-70.16,neutral,2
Note : Manitoba Government Price Index ( C$ per cwt ) -,neutral,2
Dec 4 87.16,neutral,1
"Manitoba s""             ",neutral,0
CAN / U.S. DOLLAR EXCHANGE RATE : 1.3570,neutral,2
Source : Manitoba Pork .,neutral,0
( ( Winnipeg bureau 204-947-3548 ) ),neutral,0
Canadian West Coast Vessel Loadings - CWB .,neutral,2
WINNIPEG 1996-12-06,neutral,2
"The Canadian Wheat Board reported six ships loading , 10 waiting and four due at the Canadian West Coast , as of Friday .",neutral,0
The longest wait to load on the West Coast was 13 days .,neutral,2
"Two ship loaded in Thunder Bay , one waited and seven were due .",neutral,2
"Two ships loaded on the East Coast , three waited to load , six were due .",neutral,1
Port Loading Waiting,neutral,1
Vancouver 5 7,neutral,1
Prince Rupert 1 3,neutral,0
( ( Gilbert Le Gras 204 947 3548 ) ),neutral,1
New York timecharter fixtures - Dec 6 .,neutral,0
NEW YORK 1996-12-06,neutral,0
No new fixtures reported from New York .,neutral,0
-- New York Commodities Desk +1 212 859 1640,neutral,1
New York coal / ore / scrap fixtures - Dec 6 .,neutral,0
NEW YORK 1996-12-06,neutral,1
"ORE - Maritime Queen 70,000 tonnes Dampier / Kaohsiung 20-30/12 $ 5.25 fio 35,000 / 30,000 China Steel .",neutral,1
-- New York Commodities Desk +1 212 859 1640,neutral,1
Clean tankers fixtures and enquiries - 2321 GMT .,neutral,2
NEW YORK 1996-12-06,neutral,2
FIXTURES -,neutral,2
WESTERN HEMISPHERE -,neutral,1
Danila 28.5 16/12 Caribs / up W224 Mobil .,neutral,2
"-- New York Commodities Desk , 212-859-1640",neutral,2
Dirty tanker fixtures and enquiries - 2317 GMT .,neutral,0
NEW YORK 1996-12-06,neutral,2
MIDEAST / RED SEA -,neutral,2
Thai Resource 264 31/12 Ras Tanura / Red Sea W46.50 Mobil .,neutral,1
MEDITERRANEAN -,neutral,1
Lula I 85 25/12 Sidi Kreir / Augusta W100 Exxon .,neutral,2
Spetses 139 17/12 Sidi Kreir / Augusta W97.50 Exxon .,neutral,1
Mesipia 77.5 17/12 Bajaia / Fos W105 Exxon .,neutral,1
-- New York Commodities Desk +1 212 859 1640,neutral,1
NYC Jan refunding has its 1st Euro floating rate .,neutral,1
NEW YORK 1996-12-06,neutral,0
New York City on Friday said that it planned a $ 775 million refunding for January that will include its first floating rate issue of taxable debt for European investors .,neutral,1
"A city official , who declined to be named , explained that Goldman , Sachs , which this summer was demoted to the second tier of the syndicate , proposed the floating rate issue and as a result was promoted to book runner for this offering .",neutral,2
"By selling the floating rate debt , the city hopes to establish a benchmark , the city official said , adding that it needed a large deal to accomplish this objective .",neutral,1
"The city in late June sold its first issue of Euronotes , a strategy that it says saved it $ 500,000 in interest costs , and it has been trying to build on this strategy of expanding the pool of potential investors since then .",neutral,2
"In November , New York City said it became the first U.S. municipality to offer bonds for sale in European markets by competitive bidding as it listed taxable bonds on the London Stock Exchange .",neutral,1
The refunding planned for January also includes a $ 475 million tax-exempt offering .,neutral,2
"No specific date in January has been selected for the debt sale , the official added .",neutral,2
"-- Joan Gralla , 212-859-1654",neutral,2
USDA gross cutout hide and offal value .,negative,2
DES MOINES 1996-12-06,neutral,2
"The hide and offal value from a typical slaughter steer for Friday was estimated at $ 9.54 per cwt live , dn 0.05 when compared to Thursday s""   ",neutral,1
- USDA,neutral,1
Wall St speculates about Santa Fe savior .,neutral,1
Brendan Intindola,neutral,1
NEW YORK 1996-12-06,neutral,0
"Homestake Mining Co tops Wall Street s""      most likely white knight buyer for Santa Fe Pacific Gold Corp if Santa Fe rejects unsolicited suitor Newmont Mining Corp .",neutral,1
"Santa Fe is so far mum on the more than $ 2 billion stock swap takeover proposal from Newmont , announced Thursday .",neutral,0
"Wall Street , since the bid , has speculated that any deal between Newmont and Santa Fe would be a "" bear hug , "" or a reluctantly negotiated agreement where the buyer is not necessarily a friendly suitor .",neutral,1
"Newmont said the companies have had previous contact , though declined to detail the encounters .",neutral,2
"Analysts predict Santa Fe will go to the highest bidder , and that if a rival buyer is found , Newmont may not be able to match its offer .",neutral,0
"They said the Santa Fe deal , which includes desirable Nevada mining territory , would only payoff for Newmont longer term .",neutral,0
"Newmont , in fact , will not benefit from the Santa Fe acquisition on an earnings basis for at least two years , which also limits its capacity to raise its offer .",neutral,1
"Any deal , friendly or hostile , would almost assuredly be a stock swap , which is necessary to preserve the tax-free , pooling-of-interest accounting , they said .",neutral,1
"Analysts and arbitrageurs immediately ruled out Barrick Gold Corp and Bre-X Minerals Ltd as Santa Fe saviors because they are locked in negotiations over their splitting Indonesia s""         ",neutral,1
"Placer Dome Inc too was considered unlikley because it is focusing on geographic expansion in areas that do match Santa Fe s""            Asia presence , they said .",neutral,1
A Homestake spokesman was not immediately available to comment on speculation that it tops the list .,neutral,0
"Homestake , based in San Francisco , operates gold mines in the United States , Australia , Chile and Canada .",neutral,2
"Earnings in 1995 were $ 0.22 per share , or $ 30.3 million , on revenues of $ 746.3 million .",neutral,0
"Santa Fe is headquartered Albuquerque , N.M. and reported 1995 earnings of $ 0.30 per share , or $ 40 million , on revenues of $ 350 million .",neutral,2
"Santa Fe has mining and exploration operations in Nevada , California , Montana , Canada , Brazil , Australia , Chile , Kazakstan , Mexico and Ghana .",neutral,2
"PaineWebber analyst Marc Cohen said he lowered his rating on Newmont to neutral from attractive today because if Newmont merged with Santa Fe , investors would have to wait until the second half of 1998 to realize earnings accretion .",neutral,0
""" I think Homestake could come in as a white knight , but how much is someone willing to come in above the Newmont number .",neutral,1
"One would have to outbid by at least 15 percent , but there is going to be a ( Santa Fe ) deal with someone , "" he said .",neutral,1
""" Longer term , two to three years out , ( a Newmont-Santa Fe deal ) is positive , it does all the right things .",positive,1
"But in the near-term it is , at worst , neutral , "" the analyst added .",neutral,1
Newmont proposed to Santa Fe a stock-swap merger at a ratio of 0.33 Newmont shares for each Santa Fe shares .,neutral,1
"In Friday New York Stock Exchange trade , Newmonth was off 1/2 to 46-5/8 while Santa Fe added 1/4 to 15-1/8 .",neutral,2
""" Newmont said it wants to discuss a friendly deal with Santa Fe , which is almost always a euphemism for ""                 "" "" said an arb , referring to a possible sweetened bid from Newmont .",neutral,0
"Two other arbs called Newmont s""          cent bid "" because there is no formal tender offer , only the proposal letter "" mailed "" to Santa Fe s""   ",neutral,0
"-- Wall Street Desk , 212-859-1734 .",neutral,2
Russ Berrie president to retire in July .,neutral,1
"OAKLAND , N.J. 1996-12-06",neutral,0
"Russ Berrie and Co Inc said on Friday that A. Curts Cooke will retire as president and chief operating officer effective July 1 , 1997 .",neutral,1
"Cooke will provide consulting services to the company through July 1 , 1998 , and will continue to serve as a director , the toy and gift maker said .",neutral,0
Zimbabwe executes convicted murderer .,negative,2
HARARE 1996-12-06,neutral,2
"Zimbabwe hanged a convicted murderer on Friday , bringing to eight the number of executions carried out in the past year .",neutral,1
A statement said Piniel Sindiso Ncube was hanged at dawn .,neutral,2
"President Robert Mugabe s""      pressure from local and international human rights groups to abolish the death sentence .",neutral,0
Multinational commander going back to east Zaire .,neutral,2
Jonathan Wright,neutral,1
NAIROBI 1996-12-06,neutral,1
"The Canadian general in charge of a multinational force for eastern Zaire said on Friday he was going back to Zaire for more information about the plight of about 165,000 Rwandan refugees adrift in the countryside .",neutral,0
"Lieutenant-General Maurice Baril told a news conference in Nairobi his main concern was for a large group of about 150,000 refugees living off the land in a valley about 65 km ( 40 miles ) west of the eastern city of Goma .",neutral,1
"If he decided it was necessary and safe for the aircrew , he would not hesitate to order airdrops of food for the refugees , even against the wishes of the government in Kinshasa and the Zairean rebels who control much of eastern Zaire , he said .",neutral,2
""" Tomorrow I m""            is to go across into eastern Zaire and try to find out for the second time what the situation is on the ground , "" he said .",neutral,1
General Baril saw rebel leader Laurent Kabila in Goma last week but the rebels told him the crisis was over because most of the Rwandan refugees have already gone home .,neutral,2
"The rebels do not want the multinational force to deploy on the ground , for fear it might help the Zairean army regain control of the area .",negative,2
"Kinshasa opposes airdrops , apparently because the food could fall into the hands of the rebels and their local supporters .",negative,0
Canadian Defence Minister Doug Young said on Thursday that the multinational force would probably not have to make food airdrops or intervene militarily in any major way .,neutral,0
""" It does t""              are going to be required in any significant way because the NGOs ( non-governmental organisations ) are in that area on the border between Zaire and Rwanda , "" Young told reporters .",neutral,2
But General Baril said it would be premature to rule out any course of action until he had more information .,neutral,0
""" We hope that if the front moves forward or stabilises then we will have access ( to the large group of refugees ) with reconnaissance or humanitarian agencies .",neutral,1
""" If they ca t""              then we will probably consider very seriously using air delivery means ( airdrops ) ...It s""      s""                    it will have to be absolutely necessary .",neutral,2
"If it is necessary , I wo t""        , "" he said .",neutral,1
"Asked if he would disregard the objections of the Zairean government , he said : "" It would have to be in the last resort .",neutral,1
It would have to mean that tens of thousands of lives are in danger .,neutral,1
Do you think that I would have a conscience problem doing it or not at that time ?,neutral,1
"And my mandate is also under Chapter Seven to operate in eastern Zaire . """,neutral,2
"Under Chapter Seven of the U.N. charter , the Security Council has wide powers to preserve peace and security .",neutral,2
""" I know their ( the Zairean government s""  position and I know it s""          very sensitive to their position also , "" the general added .",neutral,1
"He denied that his contacts , criticised by Kinshasa , with the Zairean rebels amounted to negotiations .",neutral,1
""" I do t""             ",neutral,1
"I coordinate with those who are holding ground and that s""           ",neutral,1
"When we do t""                t""             ",neutral,1
"Baril said that apart from the group of 150,000 , U.S. and British reconnaissance plans had tracked two much smaller groups of refugees -- one of up to 1,000 north of the town of Masisi and one of up to 8,000 on the road from Bukavu west to Kindu .",neutral,1
"The Kisangani office of the medical charity Medecins sans Frontieres said on Friday that more than 100,000 refugees were trekking northwest from the Goma-Bukavu area and many of them were now in the town of Walikale .",neutral,1
"The general did not mention these refugees , who are on the outer limit of the strip the planes have been checking .",neutral,1
Mauritius put on cyclone alert .,neutral,2
PORT LOUIS 1996-12-06,neutral,2
Mauritian authorities put the Indian Ocean island on cyclone alert on Friday .,neutral,0
The weather services office said the centre of the intense tropical cyclone Daniella was 570 km ( 310 miles ) north by northwest of the island on Friday afternoon and was moving south by southwest at eight km an hour ( four knots ) .,neutral,0
"Although not threatening Mauritius directly , it is coming closer to the island and could change direction , it added .",neutral,2
"Winds up to 75 km an hour ( 40 knots ) could blow over Mauritius during the night of Friday to Saturday , it said .",neutral,0
The weather in the capital Port Louis was heavily cloudy on Friday afternoon with occasional showers .,neutral,1
The northeastern coast of the nearby island of Madagascar has also gone on alert .,neutral,0
U.N. evacuates staff from Central African Republic .,neutral,2
ABIDJAN 1996-12-06,neutral,0
"The United Nations evacuated its staff in the Central African Republic on Friday because of mounting violence in a two-week-old army mutiny in the capital , a U.N. official said .",neutral,1
"The official from the U.N. refugee agency UNHCR said a chartered plane had picked up the staff from Bangui and was heading for Abidjan , Ivory Coast .",neutral,1
Senegal proposes foreign minister for U.N. post .,neutral,2
DAKAR 1996-12-06,neutral,2
"Senegal s""              was proposing his foreign minister Moustapha Niasse for the post of United Nations secretary-general .",neutral,1
Diouf announced his intention to reporters when he returned from the Franco-African summit in Burkina Faso where an African successor to Secretary-General Boutros Boutros-Ghali was discussed .,neutral,1
The United States has vetoed a second term for the Egyptian but left the door open for another African candidate .,neutral,0
""" If Africa does not wish to lose its turn we have to act fast , "" Diouf said . """,neutral,2
"Some of my brother heads of state asked me if I would t""       ",neutral,0
"I see in him the profile of a secretray-general of the United Nations and I have given my endorsement . """,neutral,2
"Ex-minister , son killed in Central Africa unrest .",neutral,2
Raphael Kopessoua,neutral,0
BANGUI 1996-12-06,neutral,2
"A former cabinet minister in Central African Republic and his son were abducted from their home and murdered in growing ethnic violence in the capital Bangui , a government minister said on Friday .",neutral,2
"With violence spiralling out of control , France voiced backing for the elected Bangui government but said its troops based in the former colony under defence pacts would not help it combat army mutineers .",negative,0
""" France cannot be involved in the domestic political debate , "" President Jacques Chirac told a news conference at the end of a Franco-African summit in Burkina Faso .",neutral,1
""" French troops may only take part in maintaining order to avoid major abuses and protect foreign communities , "" he said .",neutral,2
"Public Service Minister David Dofara , who is the head of the national Red Cross , told Reuters he had seen the bodies of former interior minister Christophe Grelombe and his son , who was not named .",neutral,1
Witnesses said they had been seized by troops loyal to President Ange-Felix Patasse at dawn on Thursday when they clashed with soldiers staging a mutiny since November 16 .,neutral,0
Grelombe is from the Yakoma tribe to which most of the rebel soldiers belong .,neutral,0
"The uprising began over pay demands but has turned into a campaign to topple Patasse , sparking ethnic violence and dividing the capital .",neutral,1
"The former minister and his son had been taken from their home close to the presidential palace , which is guarded by loyalist soldiers backed by French troops based in Bangui .",neutral,0
"The bodies were found on Thursday in an open field about two km ( one mile ) further away , said Dofora and other witnesses .",neutral,1
The men were seized as loyalist forces and French troops fought gunbattles with mutineers who fired rockets into the city centre .,neutral,0
A French-owned hotel was slightly damaged .,neutral,0
"Yakomas are hounded in stronghold districts of Patasse s""                  rebel hands .",neutral,1
"Roadblocks have been erected in city districts while central Bangui , which is patrolled by French troops with tanks , is deserted .",neutral,2
Shops and businesses have remained shut this week .,neutral,1
The Franco-African summit decided to send a mission Bangui to seek ways of containing the mutiny and a threat of civil war .,neutral,1
"Chirac said Burkina Faso President Blaise Compaore would visit Bangui "" in the coming hours "" with the heads of state of Gabon , Mali and Chad to try and establish dialogue between authorities and rebels .",neutral,1
The mutiny forced Patasse to miss the summit .,negative,1
His spokesman had predicted the meeting to send an assessment mission .,neutral,0
"Patasse , who won Central Africa s""    elections , refuses to resign .",neutral,1
Church-led meadiation attempts hit deadlock over rebel demands for his departure .,neutral,2
"Soldiers staged mutinies in April and May , with French troops stepping in with tanks and helicopters to quell the more serious second uprising .",neutral,2
Patasse offered concessions and amnesty to rebels before the May rebellion ended after rebels looted the city centre .,neutral,2
Rebels accuse Patasse of tribalism and of arming his civilian supporters and hired guns from Sudan and Chad .,negative,2
Mutineers have vowed to disarm all civilians and to chase out the foreign forces knwon as Codos .,neutral,0
"Hospital sources and witnesses said about 10 people were known to have been killed in the more than two weeks of fighting , including two rebels killed in Thursday s""   ",neutral,1
An undetermined number of people are reported to have been abducted and killed outside the town by tribal vigilante groups .,negative,0
"In Thursday s""              mutineers trying to break out of their strongholds rained mortar shells on the city centre .",neutral,1
Five die as SAfrican crop plane hits pickup .,neutral,1
JOHANNESBURG 1996-12-06,neutral,1
"Five people were killed when a crop-spraying plane preparing for takeoff crashed into a light delivery vehicle in South Africa s""          radio reported on Friday .",neutral,1
The freak accident occurred in Mafikeng on Thursday .,neutral,2
"The pilot survived the crash , but the driver and passengers of the van were killed .",neutral,2
WEATHER - Conditions at CIS airports - Dec 6 .,neutral,1
MOSCOW 1996-12-06,neutral,1
